year,month,day,PM2.5,PM10,CO,SO2,NO2,O3
2017,3,1,8,37,400,3,13,94
2017,3,2,40,80,900,13,54,70
2017,3,3,82,138,1500,23,68,60
2017,3,4,87,108,1700,26,74,82
2017,3,5,12,30,400,4,19,84
2017,3,6,17,43,700,6,34,81
2017,3,7,7,23,400,3,15,80
2017,3,8,10,30,500,3,24,90
2017,3,9,13,35,500,4,39,83
2017,3,10,34,65,900,12,64,88
2017,3,11,44,80,900,15,48,89
2017,3,12,7,27,300,3,13,88
2017,3,13,11,28,500,5,32,87
2017,3,14,21,52,600,8,43,85
2017,3,15,65,96,1200,22,69,77
2017,3,16,115,156,1400,25,88,83
2017,3,17,125,162,1100,19,71,81
2017,3,18,146,162,1200,16,68,139
2017,3,19,222,217,2100,33,81,150
2017,3,20,137,126,1400,19,75,60
2017,3,21,87,123,800,7,48,98
2017,3,22,140,178,1300,19,81,74
2017,3,23,121,90,1700,6,60,52
2017,3,24,60,31,1000,2,49,50
2017,3,25,34,28,800,3,36,82
2017,3,26,12,27,400,3,23,89
2017,3,27,17,34,400,3,37,87
2017,3,28,60,93,700,9,54,100
2017,3,29,118,141,900,11,65,111
2017,3,30,86,129,1200,16,57,85
2017,3,31,20,42,500,4,34,86
2017,4,1,31,78,600,7,52,88
2017,4,2,68,112,1100,14,72,97
2017,4,3,125,170,1300,21,78,159
2017,4,4,130,147,1200,20,62,90
2017,4,5,61,57,600,5,30,129
2017,4,6,98,106,900,6,47,123
2017,4,7,76,120,800,8,48,76
2017,4,8,76,136,900,7,60,64
2017,4,9,64,100,1000,7,46,98
2017,4,10,66,119,800,9,59,72
2017,4,11,26,66,400,3,35,90
2017,4,12,30,94,600,5,53,97
2017,4,13,54,135,1100,14,66,77
2017,4,14,60,136,900,6,67,99
2017,4,15,36,86,500,5,52,119
2017,4,16,97,176,1000,17,72,110
2017,4,17,123,210,1000,8,56,97
2017,4,18,24,80,300,2,23,94
2017,4,19,45,122,900,7,71,35
2017,4,20,36,88,700,3,44,90
2017,4,21,19,58,300,2,23,104
2017,4,22,44,122,500,8,44,122
2017,4,23,24,72,400,4,24,115
2017,4,24,31,79,500,5,31,111
2017,4,25,13,39,300,3,26,77
2017,4,26,14,38,400,3,30,102
2017,4,27,15,49,400,2,36,105
2017,4,28,23,64,400,3,40,115
2017,4,29,40,103,500,3,43,127
2017,4,30,48,158,500,5,44,141
2017,5,1,39,111,700,8,46,123
2017,5,2,64,132,1000,10,54,196
2017,5,3,69,107,900,9,47,118
2017,5,4,125,256,300,2,23,96
2017,5,5,181,406,400,4,24,88
2017,5,6,34,94,400,3,38,113
2017,5,7,28,75,400,5,41,142
2017,5,8,56,113,600,8,55,162
2017,5,9,43,93,500,7,26,160
2017,5,10,39,69,500,4,32,138
2017,5,11,31,134,400,3,33,96
2017,5,12,45,170,500,5,26,144
2017,5,13,19,67,300,2,18,91
2017,5,14,12,35,300,2,16,124
2017,5,15,23,62,600,7,26,138
2017,5,16,43,90,600,10,30,187
2017,5,17,62,133,700,10,39,250
2017,5,18,86,152,900,11,52,275
2017,5,19,85,150,800,11,44,252
2017,5,20,57,122,800,8,40,236
2017,5,21,57,94,1000,12,27,178
2017,5,22,37,46,1100,7,37,54
2017,5,23,18,32,500,2,34,126
2017,5,24,17,54,400,3,45,141
2017,5,25,22,83,600,5,39,165
2017,5,26,45,97,600,9,51,219
2017,5,27,69,117,1400,21,47,261
2017,5,28,87,135,1500,17,36,259
2017,5,29,28,88,700,8,27,101
2017,5,30,42,70,700,2,39,162
2017,5,31,65,104,800,4,45,205
2017,6,1,23,57,600,4,30,186
2017,6,2,23,65,1000,12,40,74
2017,6,3,29,56,700,5,38,140
2017,6,4,48,93,700,11,51,206
2017,6,5,65,115,1000,17,61,214
2017,6,6,37,32,600,2,25,96
2017,6,7,47,50,700,4,32,150
2017,6,8,25,54,600,2,55,124
2017,6,9,29,90,700,5,51,213
2017,6,10,21,69,800,11,34,139
2017,6,11,33,85,700,7,49,187
2017,6,12,34,78,1200,17,45,146
2017,6,13,40,62,900,5,44,152
2017,6,14,37,60,800,3,48,186
2017,6,15,38,95,700,4,54,220
2017,6,16,59,131,700,7,41,223
2017,6,17,82,159,900,12,37,267
2017,6,18,70,124,900,11,31,262
2017,6,19,37,70,600,3,27,219
2017,6,20,32,64,700,3,26,221
2017,6,21,48,79,900,8,28,226
2017,6,22,33,29,800,2,25,101
2017,6,23,19,12,700,2,20,102
2017,6,24,21,26,600,2,23,119
2017,6,25,26,43,500,2,33,169
2017,6,26,24,44,500,2,39,198
2017,6,27,70,96,900,7,40,270
2017,6,28,98,125,1300,8,43,254
2017,6,29,52,77,900,3,34,203
2017,6,30,72,113,900,3,39,267
2017,7,1,89,132,1000,5,42,263
2017,7,2,88,108,1100,7,33,254
2017,7,3,61,72,900,3,30,185
2017,7,4,48,51,900,3,39,156
2017,7,5,82,80,1100,3,38,198
2017,7,6,70,79,1500,4,32,93
2017,7,7,32,38,800,3,20,175
2017,7,8,41,61,700,2,31,226
2017,7,9,73,94,1100,3,29,234
2017,7,10,25,55,600,2,34,200
2017,7,11,48,94,900,4,44,311
2017,7,12,74,132,1000,4,41,256
2017,7,13,63,90,800,3,25,195
2017,7,14,34,63,700,3,34,190
2017,7,15,40,45,1000,3,27,157
2017,7,16,67,83,1200,3,34,240
2017,7,17,54,68,1100,3,28,182
2017,7,18,60,61,900,3,27,146
2017,7,19,75,74,800,3,25,171
2017,7,20,99,105,800,3,31,174
2017,7,21,22,23,700,2,27,104
2017,7,22,23,34,700,2,31,77
2017,7,23,44,59,800,2,39,106
2017,7,24,40,54,800,2,41,43
2017,7,25,32,52,900,4,34,137
2017,7,26,22,34,700,3,32,86
2017,7,27,40,66,1000,3,48,117
2017,7,28,28,56,800,3,44,125
2017,7,29,31,58,700,2,38,150
2017,7,30,38,66,700,3,35,192
2017,7,31,80,101,1000,3,36,265
2017,8,1,66,72,1000,2,30,144
2017,8,2,34,42,1100,4,25,90
2017,8,3,23,57,700,3,21,149
2017,8,4,21,43,600,3,38,174
2017,8,5,27,57,700,3,34,200
2017,8,6,17,34,500,2,31,134
2017,8,7,11,35,500,3,31,146
2017,8,8,29,69,700,3,39,227
2017,8,9,24,34,600,2,27,162
2017,8,10,65,83,800,3,33,188
2017,8,11,88,95,1200,3,38,139
2017,8,12,31,35,800,3,38,79
2017,8,13,40,47,900,2,37,99
2017,8,14,28,39,800,2,27,152
2017,8,15,55,75,1000,2,32,167
2017,8,16,56,67,900,3,37,142
2017,8,17,23,35,700,2,28,151
2017,8,18,53,68,1200,3,55,123
2017,8,19,42,43,1000,2,33,124
2017,8,20,60,69,1200,3,38,159
2017,8,21,72,94,1100,2,39,197
2017,8,22,72,81,1000,3,35,97
2017,8,23,20,32,700,2,28,109
2017,8,24,13,37,600,3,38,82
2017,8,25,10,38,500,3,39,80
2017,8,26,15,56,600,3,49,52
2017,8,27,17,26,600,3,28,76
2017,8,28,19,23,600,3,28,68
2017,8,29,17,50,500,3,37,87
2017,8,30,52,87,900,4,44,150
2017,8,31,83,99,900,2,35,120
