dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,7.125,10.75,11.708333,22.583334,429.16666,63.875,1.3916666666666668
2013-03-02,30.75,42.083332,36.625,66.666664,824.9167,29.75,0.6166666666666666
2013-03-03,76.916664,120.541664,61.291668,81.0,1620.625,19.125,5.566666666666666
2013-03-04,22.708334,44.583332,22.854166,46.1875,606.25,53.75,9.9625
2013-03-05,148.875,183.79167,93.875,132.83333,2357.9583,68.458336,6.291666666666667
2013-03-06,223.25,265.16666,116.2367,142.05939,3085.0833,19.75,7.183333333333334
2013-03-07,263.375,316.08334,97.541664,147.75,3632.875,38.833332,9.2875
2013-03-08,221.45833,297.95834,69.0604,120.09279,2689.2083,79.333336,9.612500000000002
2013-03-09,62.041668,227.60417,33.333332,45.0,1178.9584,73.916664,6.983333333333334
2013-03-10,34.291668,68.916664,22.916666,49.666668,708.3333,82.666664,5.262500000000001
2013-03-11,123.791664,178.29167,86.875,90.666664,1670.75,75.25,5.537499999999999
2013-03-12,122.791664,117.166664,27.5,72.875,1635.2916,36.583332,4.6
2013-03-13,16.041666,19.333334,16.25,36.083332,504.16666,71.875,4.929166666666666
2013-03-14,95.166664,107.291664,51.916668,70.375,1337.2916,68.916664,3.816666666666667
2013-03-15,212.29167,250.625,75.583336,99.416664,2116.5,44.208332,6.400000000000001
2013-03-16,244.875,257.91666,70.125,90.375,2174.6875,66.666664,9.529166666666667
2013-03-17,284.54166,309.66666,73.666664,113.875,2558.0,96.541664,10.008333333333335
2013-03-18,70.666664,118.041664,19.625,46.166668,866.5833,89.041664,8.383333333333333
2013-03-19,41.0,49.125,16.5,49.166668,797.9167,20.0,2.066666666666666
2013-03-20,48.916668,47.791668,12.5,41.541668,920.8333,32.083332,1.5208333333333333
2013-03-21,148.95833,161.75,21.666666,85.75,1454.0416,11.875,3.5875000000000004
2013-03-22,90.416664,144.58333,26.041666,70.375,979.125,33.916668,6.304166666666666
2013-03-23,52.75,88.666664,29.708334,57.625,1312.4584,28.208334,4.770833333333333
2013-03-24,18.541666,37.625,12.208333,35.5,1300.0,53.596024,5.112500000000001
2013-03-25,102.25,143.33333,52.5,87.25,1266.625,27.662966,5.150000000000001
2013-03-26,187.45833,251.33333,75.083336,106.291664,1741.2709,12.0206585,6.799999999999998
2013-03-27,91.625,122.916664,24.6875,42.958332,849.9167,41.62939,10.879166666666665
2013-03-28,28.333334,54.791668,12.666667,39.833332,595.7917,57.916668,7.879166666666666
2013-03-29,87.875,140.41667,47.166668,88.5,1608.0625,16.918976,6.208333333333332
2013-03-30,79.541664,111.166664,62.083332,68.208336,1666.4584,33.666668,6.45
2013-03-31,174.25,194.0,14.625,72.666664,1333.0,3.0,5.570833333333334
2013-04-01,94.916664,112.583336,17.125,39.083332,1208.1666,51.041668,10.458333333333334
