dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,5.0833335,18.958334,16.041666,15.333333,387.5,77.791664,0.8125000000000003
2013-03-02,33.333332,39.833332,40.9375,60.3125,954.1667,29.083334,-0.3958333333333332
2013-03-03,57.541668,82.666664,37.875,58.791668,1254.0,31.333334,5.3291666666666675
2013-03-04,20.791666,36.166668,22.375,30.25,583.3333,66.458336,9.2375
2013-03-05,106.958336,125.166664,50.708332,75.291664,1641.3334,88.75,6.4624999999999995
2013-03-06,235.29167,257.45834,97.354164,120.3125,3139.1875,68.208336,7.345833333333331
2013-03-07,200.66667,223.95833,81.958336,129.25,3257.9167,41.0,9.2375
2013-03-08,182.375,239.70833,58.4752,90.501144,2537.1875,82.208336,12.037500000000003
2013-03-09,58.25,200.20833,28.25,32.375,937.4167,102.25,7.1125
2013-03-10,30.25,50.125,20.75,34.291668,600.0,97.291664,7.291666666666667
2013-03-11,123.958336,163.79167,79.125,84.833336,1716.4166,88.583336,5.362500000000001
2013-03-12,137.83333,143.54167,42.458332,80.916664,1816.375,35.875,5.187499999999999
2013-03-13,13.25,17.666666,12.916667,25.0,437.5,85.083336,4.741666666666666
2013-03-14,109.0,120.833336,47.208332,74.625,1491.4166,81.125,3.4875000000000003
2013-03-15,183.29167,198.08333,65.958336,86.666664,1866.4166,58.291668,5.666666666666665
2013-03-16,229.16667,241.41667,62.375,92.125,2437.25,92.166664,8.870833333333334
2013-03-17,276.41666,277.54166,70.666664,109.916664,2520.5,97.166664,9.524999999999999
2013-03-18,39.875,73.0,9.208333,21.791666,504.16666,80.416664,8.670833333333334
2013-03-19,36.291668,28.833334,5.0,28.166666,620.8333,37.458332,1.2333333333333334
2013-03-20,32.375,32.166668,7.5833335,28.166666,675.0,57.541668,1.3875
2013-03-21,123.5,142.16667,18.583334,63.291668,1374.7916,27.875,3.1583333333333337
2013-03-22,67.791664,112.416664,14.458333,44.0,954.1667,55.208332,6.787499999999999
2013-03-23,48.416668,78.708336,16.916666,42.625,1091.5834,37.625,4.045833333333333
2013-03-24,18.208334,33.958332,5.375,24.041666,506.25,62.726543,4.829166666666667
2013-03-25,97.708336,128.70833,28.75,67.958336,1110.2709,31.900492,4.675
2013-03-26,188.41667,225.41667,41.5,92.208336,2001.875,23.529533,6.333333333333335
2013-03-27,110.458336,135.16667,16.583334,45.166668,1270.7084,49.281292,10.112499999999999
2013-03-28,13.333333,29.708334,3.3333333,27.666666,566.6667,64.291664,7.841666666666665
2013-03-29,54.25,84.041664,15.125,48.0,1212.4166,42.75522,5.641666666666666
2013-03-30,82.208336,112.541664,50.291668,52.75,1799.7084,47.458332,6.2749999999999995
2013-03-31,150.125,172.375,16.166666,54.458332,1345.5834,14.5,4.720833333333333
2013-04-01,94.5,123.416664,16.761633,35.53395,1220.7084,56.968517,10.304166666666665
2013-04-02,74.208336,103.666664,26.041666,46.875,1014.5417,76.707436,10.345833333333333
2013-04-03,126.916664,205.375,38.625,62.666668,1451.7291,71.729164,11.954166666666666
2013-04-04,55.583332,80.541664,29.916666,61.791668,1670.5416,33.166668,7.574999999999998
2013-04-05,61.541668,51.833332,8.708333,36.416668,1333.0,42.5,8.058333333333332
2013-04-06,12.458333,21.333334,6.625,19.666666,491.66666,71.375,8.741666666666665
2013-04-07,68.458336,104.25,31.25,51.083332,1206.2084,48.350033,8.320833333333333
2013-04-08,21.875,122.916664,5.5833335,15.333333,358.33334,80.291664,8.5
2013-04-09,11.666667,31.916666,3.4583333,12.875,320.83334,90.833336,7.600000000000001
2013-04-10,14.541667,26.375,8.125,27.708334,479.16666,63.85381,7.425000000000001
2013-04-11,16.083334,31.958334,7.8570333,32.421932,433.33334,61.95735,10.016666666666667
2013-04-12,46.916668,88.0,13.208333,52.583332,689.5833,49.295643,13.5
2013-04-13,39.041668,85.916664,10.333333,31.541666,575.0,60.208332,16.562500000000004
2013-04-14,27.375,73.916664,10.291667,17.458334,395.83334,88.666664,12.283333333333333
2013-04-15,76.625,158.875,35.708332,52.5,1120.75,65.604164,12.554166666666665
2013-04-16,49.291668,128.91667,25.625,36.208332,829.1667,73.0,14.712499999999999
2013-04-17,50.458332,77.708336,16.125,31.541666,633.3333,86.958336,12.387500000000001
2013-04-18,6.875,18.916666,3.3452334,9.076987,225.0,85.91201,10.975000000000001
2013-04-19,43.041668,66.25,14.520833,31.270834,612.5,61.833332,6.966666666666666
2013-04-20,79.625,83.125,10.291667,39.083332,700.0,60.166668,9.295833333333333
2013-04-21,115.458336,132.08333,21.7133,48.343296,883.3333,68.15857,12.116666666666667
2013-04-22,158.91667,167.0,35.666668,56.625,1154.0834,37.583332,12.362499999999997
2013-04-23,188.83333,167.375,14.416667,55.041668,1072.875,27.645834,12.0375
2013-04-24,91.416664,118.229164,5.0833335,35.666668,683.2917,51.333332,14.954166666666667
2013-04-25,11.166667,37.833332,3.7083333,23.708334,329.16666,72.916664,15.958333333333336
2013-04-26,50.416668,85.541664,18.125,52.541668,579.1667,72.0,17.1375
2013-04-27,64.583336,103.958336,26.458334,42.375,804.1667,97.041664,18.349999999999998
2013-04-28,88.458336,118.708336,45.708332,48.458332,1453.9166,87.958336,16.770833333333332
2013-04-29,20.375,50.541668,3.0416667,19.041666,270.83334,90.31105,22.412499999999994
2013-04-30,20.333334,38.375,5.1666665,16.125,304.16666,88.375,22.187499999999996
2013-05-01,58.75,79.541664,11.791667,29.708334,510.41666,88.875,17.7
2013-05-02,88.666664,119.416664,35.333332,45.0,1037.4584,92.291664,18.954166666666666
2013-05-03,77.041664,79.625,21.583334,28.833334,775.0,120.916664,18.404166666666665
2013-05-04,112.166664,128.33333,20.75,36.041668,879.1667,110.041664,18.7375
2013-05-05,177.54167,178.83333,38.916668,39.5,1118.5834,143.33333,20.895833333333336
2013-05-06,220.54167,229.33333,35.833332,41.708332,1516.4166,157.80457,23.391666666666666
2013-05-07,145.08333,179.125,39.791668,55.208332,1208.125,138.5,23.425
2013-05-08,168.79167,159.70833,58.75,54.333332,1554.0416,105.835045,21.079166666666662
2013-05-09,50.083332,54.791668,11.291667,41.166668,441.66666,53.395832,17.645833333333332
2013-05-10,37.166668,60.333332,5.7916665,34.375,231.25,56.958332,21.641666666666666
2013-05-11,22.416666,63.5,5.9583335,31.75,200.0,63.64205,24.391666666666666
2013-05-12,54.583332,63.375,7.7083335,38.458332,202.08333,80.041664,23.166666666666668
2013-05-13,97.166664,113.0,38.041668,45.958332,1022.9167,97.75,22.450000000000003
2013-05-14,103.875,77.791664,6.5833335,21.208334,308.33334,93.86137,24.91666666666666
2013-05-15,49.75,114.375,35.083332,43.791668,916.5833,107.125,22.674999999999997
2013-05-16,53.75,121.25,23.75,40.416668,868.6667,103.7124,21.470833333333335
2013-05-17,124.166664,157.0,26.416666,51.916668,1099.9166,88.833336,20.891666666666666
2013-05-18,143.375,165.79167,20.041666,41.666668,1091.5834,82.583336,20.912499999999998
2013-05-19,51.958332,169.625,5.7916665,23.791666,483.33334,64.708336,20.462500000000002
2013-05-20,30.375,110.208336,7.1666665,32.333332,341.66666,87.666664,22.89583333333334
2013-05-21,81.416664,200.16667,29.083334,47.208332,891.625,118.448395,23.20833333333333
2013-05-22,84.958336,152.20833,35.458332,40.833332,1179.0416,123.625,23.84583333333333
2013-05-23,63.583332,123.75,24.958334,51.25,983.3333,91.708336,23.533333333333335
2013-05-24,56.708332,102.416664,16.0,30.708334,862.3333,84.708336,24.974999999999998
2013-05-25,56.875,101.166664,23.166666,34.708332,810.3333,121.479164,25.099999999999998
2013-05-26,92.0,109.625,41.541668,30.666666,895.7917,56.333332,21.474999999999998
2013-05-27,47.25,44.916668,10.0,21.583334,379.16666,58.31734,18.591666666666665
2013-05-28,74.583336,75.0,11.333333,44.666668,629.1667,22.791666,19.741666666666664
2013-05-29,16.291666,58.416668,11.208333,20.75,158.33333,61.75,24.20833333333333
2013-05-30,34.75,100.458336,18.033733,29.138338,483.33334,96.141884,25.962500000000002
2013-05-31,96.916664,170.125,46.0,33.458332,1062.4166,147.70833,24.804166666666664
2013-06-01,58.083332,81.583336,14.416667,22.875,629.125,95.416664,25.454166666666666
2013-06-02,167.20833,210.45833,73.145836,41.125,2291.375,77.0625,21.54583333333333
2013-06-03,121.5,139.83333,27.833334,34.0,1329.0416,136.375,26.18750000000001
2013-06-04,134.79167,138.95833,33.083332,38.75,1949.5416,77.291664,20.695833333333333
2013-06-05,130.70833,104.125,15.416667,38.541668,1845.5,23.791666,18.7
2013-06-06,110.25,102.75,19.166666,40.625,2076.7083,10.229167,19.220833333333335
2013-06-07,123.208336,100.25,14.145833,44.192833,2053.25,4.8383,20.008333333333333
2013-06-08,121.75,94.291664,13.765866,35.373474,2293.0,4.406542,19.579166666666662
2013-06-09,38.833332,31.083334,6.6065,31.545334,833.3333,16.703033,18.249999999999996
2013-06-10,8.916667,25.166666,3.0178332,16.101603,397.91666,44.420753,20.6375
2013-06-11,5.375,59.166668,3.0595,22.01933,537.5,90.57465,21.283333333333335
2013-06-12,4.1875,66.916664,9.326034,17.418924,820.625,121.71164,22.0
2013-06-13,29.083334,129.83333,29.665016,22.375,1062.4584,150.88734,24.612499999999997
2013-06-14,105.0,163.25,21.6707,40.676132,987.5,155.12265,26.441666666666674
2013-06-15,127.416664,161.95833,33.0592,35.630253,1435.2291,156.0113,25.570833333333326
2013-06-16,167.25,152.75,16.695267,39.09582,1604.1041,73.938126,22.325
2013-06-17,62.25,51.916668,3.0117667,24.309116,1008.2083,81.42208,26.287499999999994
2013-06-18,33.291668,58.291668,5.58015,22.66437,656.25,138.39288,28.170833333333334
2013-06-19,38.083332,66.833336,9.9759,21.190691,620.8333,126.60802,29.445833333333336
2013-06-20,34.166668,78.208336,6.4223332,39.653748,625.0,96.28731,27.091666666666672
2013-06-21,28.833334,74.166664,11.154467,37.471355,643.75,76.50825,26.879166666666674
2013-06-22,30.25,45.208332,3.3777168,29.291183,579.1667,31.691355,22.183333333333326
2013-06-23,14.083333,42.291668,4.38365,21.275154,527.0833,97.2263,25.91666666666667
2013-06-24,46.166668,114.958336,5.0416665,23.75,1047.8125,119.98466,24.325000000000003
2013-06-25,48.479168,81.791664,7.2476335,28.578012,922.9167,55.292625,21.691666666666666
2013-06-26,77.416664,106.333336,3.7484999,30.98319,1100.0,127.31959,26.070833333333326
2013-06-27,35.520832,71.041664,2.1062999,33.694862,1100.0,119.76457,28.299999999999997
2013-06-28,204.70833,234.625,14.042,38.365437,1100.0,95.33685,24.987500000000008
2013-06-29,99.541664,90.333336,3.07615,30.32452,1100.0,59.253075,22.933333333333334
2013-06-30,225.54167,191.125,7.2709,49.99055,1100.0,16.792387,24.395833333333332
2013-07-01,188.20833,133.70833,7.616,29.674404,1100.0,34.28985,25.000000000000004
2013-07-02,14.041667,20.541666,3.737,21.1872,854.1667,76.5088,28.90416666666667
2013-07-03,21.041666,40.375,9.0947,22.89683,537.5,76.6587,30.141666666666662
2013-07-04,15.708333,37.333332,5.4641,19.154291,385.41666,68.82502,28.379166666666666
2013-07-05,17.958334,33.75,7.5833335,18.395834,470.83334,80.833336,29.93749999999999
2013-07-06,54.958332,95.041664,10.333333,22.6875,814.5,146.68362,28.704166666666662
2013-07-07,73.125,77.458336,5.6666665,16.166666,770.8333,128.41667,26.9375
2013-07-08,73.291664,66.375,3.125,21.541666,847.9167,100.958336,26.004166666666663
2013-07-09,73.916664,45.625,3.125,30.5,837.5,25.708334,24.604166666666668
2013-07-10,20.75,26.625,3.2083333,23.291666,545.8333,22.375,23.470833333333335
2013-07-11,27.625,40.833332,3.833,27.87562,558.3333,51.89935,25.170833333333334
2013-07-12,51.875,68.208336,4.19015,19.408175,756.25,111.39332,27.104166666666668
2013-07-13,141.95833,117.583336,7.2083335,22.25,1270.8334,113.375,27.88333333333333
2013-07-14,128.0,109.791664,11.708333,20.583334,1229.1666,94.0,26.70416666666667
2013-07-15,31.208334,16.041666,3.7083333,25.166666,1354.1666,23.693192,23.554166666666664
2013-07-16,13.0,14.875,3.2083333,16.708334,458.33334,56.291668,27.625
2013-07-17,33.75,57.5,6.125,23.416666,583.3333,109.625,27.2
2013-07-18,153.79167,124.833336,14.166667,24.375,1666.6666,90.291664,26.25
2013-07-19,100.958336,85.5,5.0833335,25.083334,1029.1666,60.833332,27.266666666666666
2013-07-20,41.625,50.333332,3.0833333,19.3125,604.1667,77.104164,27.64583333333334
2013-07-21,84.166664,101.5,5.4166665,31.208334,987.5,63.0,27.04166666666667
2013-07-22,114.916664,112.708336,7.8564,27.23874,1289.5834,67.3678,26.337499999999995
2013-07-23,76.166664,80.0,5.9583335,18.416666,933.3333,110.70779,27.23333333333333
2013-07-24,21.041666,32.708332,9.875,18.708334,508.33334,85.3125,30.412499999999994
2013-07-25,22.666666,52.458332,7.9583335,28.5,612.5,110.583336,30.912499999999998
2013-07-26,45.583332,62.125,20.541666,42.541668,1375.0,30.208334,25.675
2013-07-27,84.041664,59.708332,6.875,36.958332,1358.3334,40.5,24.899999999999995
2013-07-28,29.125,30.541666,7.0416665,22.4375,675.0,80.854164,30.566666666666674
2013-07-29,46.083332,77.541664,3.25,44.5,758.3333,73.583336,28.975000000000005
2013-07-30,86.875,98.958336,3.6006832,25.369822,845.8333,163.85426,28.9875
2013-07-31,33.833332,42.916668,3.4166667,20.708334,512.5,136.79167,25.89166666666667
