dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,6.375,6.2708335,3.0,2.125,204.16667,81.958336,0.8125000000000003
2013-03-02,34.041668,41.708332,25.083334,56.375,875.0,24.708334,-0.3958333333333332
2013-03-03,43.833332,65.333336,19.8125,41.25,818.75,41.0,5.3291666666666675
2013-03-04,17.541666,27.854166,9.166667,13.375,400.0,76.916664,9.2375
2013-03-05,105.375,117.208336,36.375,58.375,1187.375,86.5,6.4624999999999995
2013-03-06,220.79167,225.0,71.25,96.333336,2166.5,73.125,7.345833333333331
2013-03-07,141.41667,152.875,47.895832,94.833336,1729.0,60.333332,9.2375
2013-03-08,146.16667,217.0,33.279232,56.753883,1429.0834,87.583336,12.037500000000003
2013-03-09,59.833332,223.66667,12.958333,24.104166,662.4167,100.958336,7.1125
2013-03-10,25.791666,38.895832,11.25,15.5,379.16666,94.0,7.291666666666667
2013-03-11,117.708336,150.16667,61.958332,68.083336,1270.625,90.666664,5.362500000000001
2013-03-12,138.08333,136.79167,27.333334,70.583336,1545.5,43.041668,5.187499999999999
2013-03-13,10.958333,15.416667,5.0416665,9.25,258.33334,85.708336,4.741666666666666
2013-03-14,107.833336,107.0,35.916668,64.541664,1253.9166,81.291664,3.4875000000000003
2013-03-15,204.16667,190.33333,49.708332,79.416664,1579.0834,62.666668,5.666666666666665
2013-03-16,237.5,219.375,42.791668,83.291664,2053.875,93.625,8.870833333333334
2013-03-17,326.5,290.5,45.416668,107.541664,2641.3333,104.166664,9.524999999999999
2013-03-18,33.708332,63.666668,5.9166665,15.833333,429.16666,93.416664,8.670833333333334
2013-03-19,45.0,33.291668,4.0,28.25,612.5,35.416668,1.2333333333333334
2013-03-20,31.041666,23.916666,5.8333335,18.833334,475.0,63.208332,1.3875
2013-03-21,132.625,117.208336,10.375,43.625,1016.6667,40.833332,3.1583333333333337
2013-03-22,55.208332,90.583336,10.916667,25.875,554.1667,75.833336,6.787499999999999
2013-03-23,50.791668,65.791664,17.416666,37.125,770.8333,46.125,4.045833333333333
2013-03-24,13.708333,19.625,4.75,12.291667,245.83333,78.98452,4.829166666666667
2013-03-25,88.083336,108.375,25.833334,52.083332,806.25,47.39754,4.675
2013-03-26,177.66667,203.0,41.708332,76.458336,1393.625,39.383224,6.333333333333335
2013-03-27,108.625,116.666664,16.958334,35.0,891.6667,61.212524,10.112499999999999
2013-03-28,13.25,18.541666,4.0,13.083333,250.0,86.875,7.841666666666665
2013-03-29,45.125,66.375,14.958333,30.625,777.0417,64.18993,5.641666666666666
2013-03-30,81.333336,103.75,43.958332,42.458332,1345.75,65.083336,6.2749999999999995
2013-03-31,146.79167,142.70833,11.166667,51.958332,1010.3333,17.520834,4.720833333333333
2013-04-01,146.89583,173.89583,12.479167,40.020832,1220.8334,43.854168,10.304166666666665
2013-04-02,66.041664,91.833336,19.583334,29.0625,760.3333,88.62701,10.345833333333333
2013-04-03,118.041664,191.25,31.041666,41.9375,1210.375,84.854164,11.954166666666666
2013-04-04,56.166668,78.166664,21.041666,46.666668,1368.7084,42.0625,7.574999999999998
2013-04-05,53.791668,41.875,5.625,21.958334,883.2917,51.625,8.058333333333332
2013-04-06,11.625,14.5625,5.2916665,12.166667,258.33334,73.92098,8.741666666666665
2013-04-07,65.625,96.041664,21.625,37.583332,891.625,53.416668,8.320833333333333
2013-04-08,18.958334,86.791664,3.4583333,6.0416665,227.08333,84.9375,8.5
2013-04-09,10.75,18.916666,3.0,3.25,200.0,97.208336,7.600000000000001
2013-04-10,10.833333,16.375,3.875,6.4166665,270.83334,82.9684,7.425000000000001
2013-04-11,11.875,25.541666,3.5714,13.875,304.16666,75.02355,10.016666666666667
2013-04-12,41.916668,73.375,11.25,39.208332,554.1667,55.453857,13.5
2013-04-13,33.458332,62.041668,6.8690333,17.71275,358.33334,66.870445,16.562500000000004
2013-04-14,25.916666,71.958336,8.708333,14.416667,350.0,87.041664,12.283333333333333
2013-04-15,71.916664,160.08333,29.625,40.833332,1025.0,70.833336,12.554166666666665
2013-04-16,44.375,103.625,16.3125,22.541666,725.0,81.916664,14.712499999999999
2013-04-17,45.25,72.416664,12.625,32.041668,562.5,80.833336,12.387500000000001
2013-04-18,6.875,13.770833,3.0416667,5.625,220.83333,84.45077,10.975000000000001
2013-04-19,42.041668,64.333336,14.791667,30.666666,658.3333,63.583332,6.966666666666666
2013-04-20,74.708336,74.708336,8.8125,33.083332,666.6667,59.270832,9.295833333333333
2013-04-21,110.458336,110.458336,18.980566,45.133045,850.0,71.166794,12.116666666666667
2013-04-22,182.75,176.33333,30.541666,52.583332,1220.6666,42.041668,12.362499999999997
2013-04-23,177.8125,169.14583,17.145834,55.520832,1118.75,30.375,12.0375
2013-04-24,69.833336,65.75,4.9166665,23.0,502.08334,52.916668,14.954166666666667
2013-04-25,9.125,23.041666,3.8333333,7.9166665,237.5,79.666664,15.958333333333336
2013-04-26,46.083332,83.083336,22.125,28.625,416.66666,86.041664,17.1375
2013-04-27,54.208332,105.416664,26.333334,28.208334,708.3333,103.333336,18.349999999999998
2013-04-28,71.708336,108.166664,34.9375,35.645832,1210.375,94.270836,16.770833333333332
2013-04-29,10.791667,35.583332,3.25,4.75,231.25,100.437706,22.412499999999994
2013-04-30,12.0,29.5,5.9583335,5.0,254.16667,97.610085,22.187499999999996
2013-05-01,10.0,25.0,3.0,2.0,200.0,107.5284,17.7
2013-05-02,51.5,78.020836,20.875,22.0625,529.1667,121.399025,18.954166666666666
2013-05-03,63.25,86.916664,21.166666,24.208334,791.6667,121.25,18.404166666666665
2013-05-04,98.833336,128.66667,16.5,28.375,779.1667,118.541664,18.7375
2013-05-05,131.95833,181.45833,29.041666,31.708334,1016.5417,143.625,20.895833333333336
2013-05-06,211.5,236.83333,27.5,29.416666,1437.3125,156.18901,23.391666666666666
2013-05-07,139.0,178.16667,32.083332,36.0,1066.625,151.58333,23.425
2013-05-08,160.27083,183.0625,50.365185,44.165066,1576.8541,109.57074,21.079166666666662
2013-05-09,54.166668,67.708336,6.2789335,35.676132,904.1667,53.1355,17.645833333333332
2013-05-10,27.625,41.625,3.375,13.75,302.08334,59.479168,21.641666666666666
2013-05-11,13.583333,32.791668,4.375,13.083333,185.41667,69.21651,24.391666666666666
2013-05-12,20.25,58.291668,6.5,21.645834,275.0,82.5,23.166666666666668
2013-05-13,60.708332,127.25,30.625,37.75,1035.4166,97.75,22.450000000000003
2013-05-14,24.333334,83.583336,5.875,14.6875,235.41667,95.3125,24.91666666666666
2013-05-15,39.041668,126.708336,26.291666,22.791666,602.0833,115.375,22.674999999999997
2013-05-16,47.5,139.70833,17.25,30.791666,818.75,109.203476,21.470833333333335
2013-05-17,119.375,172.45833,19.875,39.666668,958.25,102.50377,20.891666666666666
2013-05-18,146.66667,179.25,17.541666,38.166668,1201.8959,82.229164,20.912499999999998
2013-05-19,53.041668,134.20833,6.0833335,25.583334,579.1667,64.583336,20.462500000000002
2013-05-20,26.458334,83.416664,8.416667,10.875,287.5,93.416664,22.89583333333334
2013-05-21,71.833336,184.04167,24.0,30.041666,793.6667,128.86232,23.20833333333333
2013-05-22,80.5,148.0,28.666666,30.166666,1281.1041,120.833336,23.84583333333333
2013-05-23,54.416668,95.166664,18.666666,34.666668,879.125,95.95994,23.533333333333335
2013-05-24,41.458332,66.75,10.333333,14.416667,800.0,83.5,24.974999999999998
2013-05-25,59.333332,89.541664,18.75,25.958334,933.25,122.166664,25.099999999999998
2013-05-26,85.166664,102.166664,22.5,31.875,1141.625,58.583332,21.474999999999998
2013-05-27,41.583332,33.541668,3.875,12.541667,579.1667,60.555458,18.591666666666665
2013-05-28,63.583332,75.75,3.4166667,35.020832,737.5,19.958334,19.741666666666664
2013-05-29,11.25,38.916668,3.6666667,7.2291665,191.66667,62.833332,24.20833333333333
