dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,6.4166665,9.875,8.291667,28.229166,389.58334,72.75,1.3250000000000002
2013-03-02,30.5,40.583332,28.291666,58.5,966.5833,37.791668,0.49166666666666675
2013-03-03,98.333336,131.58333,58.291668,93.458336,2132.875,20.333334,4.9875
2013-03-04,24.291666,40.875,16.5118,47.671642,860.4167,62.291668,10.5625
2013-03-05,154.25,183.16667,81.395836,137.79167,2399.7708,83.041664,7.212500000000001
2013-03-06,206.83333,231.91667,102.416664,161.5,2991.3333,28.0,8.000000000000002
2013-03-07,274.41666,306.625,92.958336,174.0,4249.6665,53.541668,9.258333333333331
2013-03-08,189.33333,232.45833,61.462933,151.76414,3253.875,104.541664,9.662500000000001
2013-03-09,58.916668,217.27083,32.854168,58.645832,1301.8125,97.083336,7.233333333333335
2013-03-10,36.333332,66.458336,19.25,53.208332,924.9583,95.125,5.787499999999999
2013-03-11,111.625,149.79167,75.125,83.125,1295.5625,86.666664,7.183333333333333
2013-03-12,126.75,125.833336,28.416666,88.875,1408.0834,45.75,5.104166666666665
2013-03-13,18.458334,23.875,12.166667,36.0,483.33334,79.5,4.3625
2013-03-14,97.5,105.333336,52.333332,71.75,1437.2916,78.875,3.9625000000000004
2013-03-15,219.95833,229.5,78.291664,115.5,2299.4167,60.708332,5.866666666666667
2013-03-16,243.58333,235.33333,69.416664,122.625,2349.7083,84.666664,9.633333333333335
2013-03-17,289.25,289.20834,72.583336,140.5,2079.1667,106.916664,9.966666666666667
2013-03-18,69.625,101.041664,16.916666,55.333332,2100.0,90.916664,8.170833333333333
2013-03-19,38.833332,47.583332,11.0,53.583332,2100.0,30.25,2.191666666666667
2013-03-20,51.208332,57.875,17.291666,39.0,1593.75,37.416668,1.7625
2013-03-21,144.45833,145.91667,23.416666,76.625,1333.3334,20.0625,4.516666666666667
2013-03-22,83.333336,124.541664,22.583334,52.25,862.5,54.625,6.324999999999999
2013-03-23,53.25,84.041664,25.083334,46.125,983.25,39.75,4.470833333333334
2013-03-24,18.0,28.583334,9.291667,23.958334,241.66667,69.75537,4.7875000000000005
2013-03-25,100.375,120.708336,38.93413,65.11978,737.4583,40.545246,5.470833333333334
2013-03-26,151.70833,164.3125,55.604168,81.4375,1545.4375,22.98466,8.470833333333333
2013-03-27,85.708336,97.458336,15.541667,46.166668,904.1667,56.36405,11.370833333333335
2013-03-28,28.583334,53.916668,8.416667,29.125,525.0,78.75,8.304166666666667
2013-03-29,90.5,134.20833,36.208332,69.833336,1541.4375,30.416117,6.012499999999999
2013-03-30,79.625,105.833336,47.625,50.833332,1616.4166,51.333332,5.962500000000001
2013-03-31,178.875,193.25,20.208334,71.0,1437.2916,9.166667,5.550000000000001
2013-04-01,95.291664,118.791664,33.166668,45.625,1383.2084,62.416668,10.887500000000001
2013-04-02,104.5,134.16667,35.416668,55.166668,1335.125,71.49341,11.174999999999999
2013-04-03,125.625,194.41667,42.208332,79.75,1462.2709,65.45477,11.720833333333333
2013-04-04,70.916664,107.208336,47.791668,65.25,2214.2708,32.21094,8.316666666666668
2013-04-05,59.541668,57.541668,14.75,38.0,1239.4584,50.618633,8.995833333333334
2013-04-06,11.333333,20.25,6.125,19.291666,368.75,76.833336,9.404166666666667
