dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,7.5416665,11.666667,8.5,28.5,400.0,63.166668,1.3916666666666668
2013-03-02,26.375,34.875,28.041666,62.854168,841.5833,35.166668,0.6166666666666666
2013-03-03,81.5,119.083336,69.208336,96.458336,1966.4584,16.5,5.566666666666666
2013-03-04,18.25,41.958332,20.208334,51.333332,625.0,54.5,9.9625
2013-03-05,141.16667,163.70833,83.375,134.75,2483.0833,78.791664,6.291666666666667
2013-03-06,205.58333,229.75,126.8125,154.95833,3378.7917,28.416666,7.183333333333334
2013-03-07,248.0,280.125,98.708336,161.375,3949.6667,46.666668,9.2875
2013-03-08,209.95833,249.5,63.980934,139.7534,3208.0625,106.0,9.612500000000002
2013-03-09,51.75,251.6875,36.708332,49.833332,1024.8334,96.916664,6.983333333333334
2013-03-10,34.083332,59.375,23.041666,51.708332,737.5,90.291664,5.262500000000001
2013-03-11,119.333336,162.95833,106.833336,91.833336,1699.75,85.166664,5.537499999999999
2013-03-12,117.708336,114.375,36.166668,86.75,1858.2084,39.5,4.6
2013-03-13,14.666667,19.5,15.125,43.166668,550.0,74.458336,4.929166666666666
2013-03-14,93.583336,104.25,65.5,73.0,1481.25,76.083336,3.816666666666667
2013-03-15,188.125,227.20833,92.291664,111.333336,2270.625,63.083332,6.400000000000001
2013-03-16,225.66667,228.33333,78.041664,93.25,2382.9167,94.541664,9.529166666666667
2013-03-17,258.20834,283.125,77.833336,111.416664,2632.9583,107.0,10.008333333333335
2013-03-18,70.083336,107.458336,16.125,44.0,912.4375,91.083336,8.383333333333333
2013-03-19,36.125,44.541668,10.125,42.208332,687.5,31.666666,2.066666666666666
2013-03-20,52.0,44.416668,13.25,36.666668,854.1667,45.375,1.5208333333333333
2013-03-21,142.70833,150.83333,28.333334,78.041664,1553.9584,30.041666,3.5875000000000004
2013-03-22,78.25,112.125,22.666666,53.083332,872.8333,54.770832,6.304166666666666
2013-03-23,47.958332,69.666664,27.583334,50.625,1162.3334,38.208332,4.770833333333333
2013-03-24,15.791667,25.625,10.666667,33.583332,379.16666,61.074116,5.112500000000001
2013-03-25,95.708336,114.208336,45.291668,71.0,916.6667,48.47039,5.150000000000001
2013-03-26,178.75,213.20833,71.958336,76.041664,1537.3125,42.371315,6.799999999999998
2013-03-27,85.375,122.333336,17.375,37.083332,783.25,57.46275,10.879166666666665
2013-03-28,24.875,52.041668,8.625,35.208332,512.5,67.5,7.879166666666666
2013-03-29,69.125,114.958336,35.166668,66.666664,1362.375,39.208332,6.208333333333332
