dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,8.625,16.875,7.3125,2.4791667,860.4167,76.520836,1.691666666666667
2013-03-02,36.916668,51.375,37.291668,36.458332,1479.0416,39.583332,0.8208333333333333
2013-03-03,80.333336,120.041664,47.541668,61.729168,2349.7083,33.708332,6.5625
2013-03-04,26.5,51.291668,18.666666,19.9375,1170.6666,67.25,9.795833333333333
2013-03-05,136.70833,172.54167,74.416664,78.8125,1351.8125,84.375,6.749999999999999
2013-03-06,190.91667,256.29166,114.083336,131.66667,2333.0625,17.5,7.354166666666667
2013-03-07,243.75,308.58334,83.166664,161.77083,4607.8335,55.625,9.729166666666664
2013-03-08,201.5,267.33334,60.546234,141.17612,3051.9583,106.666664,10.612499999999999
2013-03-09,59.333332,303.66666,21.583334,44.125,981.25,102.125,7.625
2013-03-10,41.583332,75.541664,20.041666,46.875,799.9583,98.625,6.425
2013-03-11,138.0,197.125,96.0,106.166664,2203.75,91.541664,5.783333333333332
2013-03-12,137.08333,139.91667,27.375,101.75,2053.9167,39.666668,5.183333333333333
2013-03-13,28.583334,35.666668,10.875,46.458332,741.6667,64.625,4.845833333333333
2013-03-14,100.583336,115.416664,48.541668,80.333336,1608.0834,80.041664,3.983333333333334
2013-03-15,220.20833,239.29167,65.041664,121.25,2658.0,61.291668,5.979166666666665
2013-03-16,239.625,244.54167,62.083332,109.166664,2637.2917,87.166664,9.725000000000001
2013-03-17,276.875,306.79166,64.041664,122.208336,2635.0417,107.0,10.195833333333333
2013-03-18,75.791664,113.5,11.75,39.791668,883.2917,93.583336,8.695833333333333
2013-03-19,36.458332,37.791668,6.5833335,53.125,858.2917,24.5,1.9541666666666668
2013-03-20,61.0,64.0,8.0,42.0,979.125,44.166668,1.8916666666666666
2013-03-21,148.75,162.91667,19.666666,87.791664,1481.0416,18.875,3.625
2013-03-22,82.666664,126.083336,19.458334,58.75,995.7917,54.375,7.041666666666668
2013-03-23,54.375,102.125,21.583334,55.041668,1041.5416,38.416668,4.9625
2013-03-24,21.083334,43.416668,9.5,28.041666,483.33334,75.170235,5.358333333333334
2013-03-25,106.208336,158.375,42.2555,89.62062,1164.4584,33.21577,5.1833333333333345
2013-03-26,180.95833,251.33333,61.833332,107.208336,2082.8958,19.237766,7.108333333333333
2013-03-27,105.625,157.75,17.333334,55.958332,1283.2084,52.179657,10.658333333333333
2013-03-28,29.833334,54.75,9.666667,35.25,604.1667,73.958336,8.012499999999998
2013-03-29,66.291664,114.958336,29.125,85.333336,1322.6875,30.511559,6.491666666666666
2013-03-30,64.875,106.5,49.458332,67.041664,1562.2084,49.083332,6.508333333333333
2013-03-31,173.04167,196.66667,19.333334,83.666664,1516.375,5.625,5.645833333333333
2013-04-01,93.791664,124.75,23.416666,48.666668,1266.625,58.023666,11.216666666666667
2013-04-02,93.208336,147.375,37.333332,69.166664,1260.2291,59.856575,10.745833333333332
2013-04-03,122.958336,197.45833,36.75,86.208336,1658.0416,60.791668,11.783333333333331
2013-04-04,58.583332,94.208336,37.541668,79.125,1837.3334,33.458332,7.8625
2013-04-05,54.708332,54.5,9.5,44.166668,1074.8334,50.458332,8.658333333333331
2013-04-06,14.375,30.5,7.0833335,36.0,502.08334,62.1875,8.545833333333334
2013-04-07,89.458336,137.125,31.0,80.416664,1337.3334,37.083332,8.837499999999999
2013-04-08,27.083334,133.375,6.0,22.875,429.16666,82.583336,9.308333333333335
2013-04-09,12.541667,36.458332,5.0,13.708333,383.33334,95.458336,8.225
2013-04-10,11.125,26.833334,4.7261,19.941504,441.66666,82.841896,8.766666666666667
2013-04-11,16.708334,51.520832,8.255834,41.057682,606.25,69.4722,10.987499999999999
2013-04-12,42.083332,122.416664,19.375,77.916664,814.5833,38.64251,15.049999999999999
2013-04-13,68.875,131.45833,13.333333,53.25,745.8333,52.041668,17.391666666666666
2013-04-14,81.083336,116.083336,14.875,31.583334,545.8333,76.8125,12.787499999999996
2013-04-15,100.104164,151.66667,38.291668,70.0,1349.8334,59.458332,12.825000000000001
2013-04-16,58.208332,124.333336,19.208334,45.25,945.75,74.916664,14.579166666666667
2013-04-17,58.708332,83.75,15.791667,47.0,800.0,73.875,12.3375
2013-04-18,9.416667,32.875,3.25,20.725721,347.91666,78.99537,11.049999999999999
2013-04-19,33.083332,83.916664,13.625,41.25,737.5,55.416668,6.237500000000001
2013-04-20,75.583336,84.791664,9.041667,43.5,704.1667,64.083336,9.166666666666666
2013-04-21,113.75,181.08333,25.886366,75.34798,1122.8334,50.961468,12.016666666666666
2013-04-22,156.33333,203.25,41.916668,75.958336,1293.625,29.5625,12.125
2013-04-23,166.0,200.54167,22.125,76.625,1383.1666,18.75,11.841666666666667
2013-04-24,114.9375,128.64583,6.8333335,65.604164,1818.7084,12.416667,15.850000000000003
2013-04-25,30.5,51.208332,4.3333335,24.25,537.4583,74.625,17.020833333333332
2013-04-26,81.875,122.25,24.166666,73.333336,766.625,55.625,16.895833333333336
2013-04-27,63.25,117.166664,32.2909,67.280106,972.9167,86.63894,18.3
2013-04-28,73.208336,119.416664,41.791668,59.333332,1612.0416,88.5,16.891666666666666
2013-04-29,21.875,94.333336,5.2083335,27.708334,377.08334,91.07163,21.82916666666667
2013-04-30,39.25,110.458336,9.708333,63.208332,679.1667,57.25,21.720833333333335
2013-05-01,39.791668,112.875,14.625,43.958332,612.5,91.083336,17.887500000000003
2013-05-02,81.020836,141.08333,38.833332,56.958332,866.6667,93.208336,19.425
2013-05-03,63.166668,93.791664,19.791666,37.5,741.625,122.541664,18.183333333333334
2013-05-04,103.583336,154.08333,22.833334,50.208332,839.5833,104.0625,19.079166666666662
2013-05-05,166.91667,242.875,36.833332,82.208336,1462.2916,102.0,20.645833333333332
2013-05-06,226.02083,274.25,31.25,53.75,1754.0,148.93016,23.1125
2013-05-07,130.79167,234.58333,37.25,77.25,1378.9584,116.833336,23.195833333333336
2013-05-08,155.79167,202.83333,49.75,73.895836,1461.9166,82.1704,20.329166666666666
2013-05-09,65.458336,99.333336,11.0625,64.604164,722.9167,43.916668,17.804166666666664
2013-05-10,33.625,115.458336,7.125,44.833332,545.8333,63.875,21.879166666666666
2013-05-11,31.895834,115.708336,7.4166665,53.583332,431.25,52.437077,24.775000000000006
2013-05-12,31.291666,113.958336,12.916667,53.333332,652.0417,70.895836,22.691666666666666
2013-05-13,84.791664,166.16667,54.25,78.25,1593.5209,80.67685,21.670833333333334
2013-05-14,55.541668,134.625,13.625,52.416668,695.8333,85.041664,24.370833333333337
2013-05-15,59.541668,152.875,36.25,59.083332,1033.1666,109.916664,23.1375
