dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,7.5416665,12.375,15.416667,10.6875,333.33334,78.645836,0.016666666666666257
2013-03-02,32.708332,41.375,40.0112,49.85349,749.9583,35.005016,-0.9916666666666668
2013-03-03,57.625,80.75,38.291668,47.625,945.8333,27.833334,3.912500000000001
2013-03-04,20.75,45.875,25.708334,35.125,524.9583,55.916668,7.108333333333334
2013-03-05,49.583332,121.333336,50.4375,66.791664,1316.5416,87.958336,5.683333333333334
2013-03-06,167.625,195.375,65.791664,86.583336,2095.625,80.375,5.466666666666668
2013-03-07,206.41667,267.58334,64.0,121.666664,2466.375,63.583332,7.629166666666666
2013-03-08,194.875,232.25,58.557766,88.81046,2274.5833,85.791664,8.816666666666668
2013-03-09,52.125,142.75,29.354166,33.25,812.5,102.5,6.195833333333332
2013-03-10,43.625,68.916664,32.25,46.583332,762.5,90.541664,3.733333333333334
2013-03-11,119.541664,141.875,73.0,72.375,1295.6666,70.958336,4.879166666666666
2013-03-12,106.541664,104.666664,29.833334,81.75,1208.1666,41.875,4.937499999999999
2013-03-13,10.583333,16.458334,15.083333,19.25,312.5,85.458336,2.4458333333333333
2013-03-14,108.0,120.791664,32.458332,78.208336,1470.5834,79.25,1.9958333333333336
2013-03-15,220.83333,223.95833,49.583332,102.041664,2003.8959,45.375,4.204166666666667
2013-03-16,236.0,223.91667,48.375,83.083336,2056.0417,77.708336,8.200000000000001
2013-03-17,280.29166,285.91666,65.833336,105.541664,2493.4375,99.666664,8.091666666666667
2013-03-18,95.416664,115.875,10.25,32.708332,799.9167,87.791664,7.283333333333334
2013-03-19,29.458334,14.958333,4.375,29.208334,479.16666,40.0,0.9666666666666667
2013-03-20,35.75,32.958332,6.625,33.083332,591.6667,54.625,0.4375
2013-03-21,122.166664,129.875,20.541666,62.5,1356.0416,28.041666,3.070833333333333
2013-03-22,64.875,107.0,20.125,33.791668,637.5,59.416668,6.2875000000000005
2013-03-23,40.0,52.541668,28.666666,22.166666,795.8333,43.75,4.079166666666667
2013-03-24,11.916667,20.75,5.7916665,10.916667,277.08334,69.784355,3.3625000000000003
2013-03-25,91.958336,119.291664,32.7022,6.4980707,1174.7916,33.951786,3.716666666666667
2013-03-26,182.125,210.33333,32.333332,5.875,1833.1041,22.359858,5.841666666666666
2013-03-27,94.0,140.39583,11.583333,8.270833,1395.75,56.3016,10.104166666666666
2013-03-28,19.333334,38.708332,7.5833335,19.5,795.8333,78.125,6.541666666666667
2013-03-29,46.833332,80.708336,23.541666,35.583332,897.875,50.12723,4.7041666666666675
2013-03-30,81.0,126.291664,59.583332,39.416668,1499.9166,55.625,5.966666666666666
2013-03-31,151.91667,181.625,25.208334,39.625,1024.9584,25.708334,4.720833333333334
2013-04-01,129.45833,139.75,20.083334,26.958334,1129.0416,54.458332,8.704166666666667
2013-04-02,77.25,116.375,21.166666,40.041668,939.5417,70.844315,8.720833333333335
2013-04-03,105.0,204.16667,30.333334,36.916668,1110.2916,80.67755,11.649999999999999
2013-04-04,59.0,86.25,40.791668,37.333332,1574.7916,41.458332,7.4125000000000005
2013-04-05,44.666668,33.583332,8.916667,15.645833,808.0417,60.208332,8.0625
2013-04-06,14.666667,29.916666,4.5416665,15.604167,460.41666,63.208332,6.849999999999998
2013-04-07,67.791664,113.958336,38.875,39.791668,1237.4166,47.875,8.045833333333333
2013-04-08,18.625,66.291664,3.4166667,14.958333,350.0,90.875,8.129166666666666
2013-04-09,11.333333,17.25,3.0833333,9.4375,412.5,103.333336,7.641666666666667
2013-04-10,9.458333,12.0,3.7142668,19.270834,241.66667,88.97051,6.599999999999999
2013-04-11,12.625,42.875,5.0,59.176643,262.5,66.785774,8.408333333333335
2013-04-12,55.5,121.25,16.708334,54.3125,747.875,46.859165,11.225000000000001
2013-04-13,46.583332,87.166664,12.416667,25.5625,481.25,65.74845,15.470833333333337
2013-04-14,28.208334,85.958336,10.041567,24.512558,437.5,84.786545,11.337499999999999
2013-04-15,69.958336,197.125,46.041668,44.833332,1212.5,69.208336,11.970833333333333
2013-04-16,51.916668,137.04167,33.625,27.291666,829.125,86.041664,13.524999999999999
2013-04-17,49.0,89.041664,23.5,29.208334,620.8333,81.25,11.404166666666667
2013-04-18,12.125,33.583332,5.113,7.669979,235.41667,93.47438,10.0625
2013-04-19,43.708332,79.125,19.625,30.333334,714.5833,67.916664,6.691666666666666
2013-04-20,74.208336,94.583336,11.458333,41.166668,802.0833,65.708336,8.845833333333333
2013-04-21,117.583336,157.79167,26.4333,57.9901,1029.1666,60.695217,11.320833333333331
2013-04-22,171.66667,195.16667,42.875,64.729164,1187.4166,37.645832,11.970833333333337
2013-04-23,174.95833,175.54167,16.041334,58.79611,1127.0416,18.23466,10.941666666666665
2013-04-24,43.291668,40.0,5.3273335,20.92937,531.25,53.833282,13.675000000000002
2013-04-25,10.166667,22.541666,3.1845,10.197298,362.5,90.01911,15.316666666666668
2013-04-26,47.875,93.666664,22.9375,28.854166,504.16666,87.854164,16.42083333333333
2013-04-27,58.541668,130.58333,37.987534,29.217445,862.4583,111.52713,17.812500000000004
2013-04-28,82.458336,133.79167,55.028435,43.24009,1583.0834,100.84306,15.662500000000003
2013-04-29,15.0,49.5,2.9523666,5.8541665,250.0,109.05529,21.650000000000002
2013-04-30,18.041666,52.666668,6.625,14.958333,295.83334,90.791664,20.7625
2013-05-01,34.166668,100.333336,24.25,27.666666,616.6667,95.375,17.2375
2013-05-02,72.083336,127.583336,43.666668,39.166668,1120.7916,103.5,18.445833333333336
2013-05-03,54.75,86.208336,21.916666,26.333334,787.4583,130.11388,18.020833333333332
2013-05-04,98.416664,148.0,22.25,47.333332,847.9167,103.20711,18.029166666666665
2013-05-05,137.16667,215.33333,37.958332,44.041668,1041.6666,135.45833,20.10833333333333
2013-05-06,208.45833,270.25,32.5625,40.875,1379.125,197.05487,22.349999999999998
2013-05-07,130.0,255.0,27.0,50.0,900.0,278.0,22.462499999999995
2013-05-08,130.0,255.0,27.0,50.0,900.0,278.0,20.504166666666666
2013-05-09,130.0,255.0,27.0,50.0,900.0,278.0,16.929166666666667
2013-05-10,130.0,255.0,27.0,50.0,900.0,278.0,19.575000000000003
2013-05-11,130.0,255.0,27.0,50.0,900.0,278.0,22.558333333333334
2013-05-12,130.0,255.0,27.0,50.0,900.0,278.0,21.016666666666666
2013-05-13,130.0,255.0,27.0,50.0,900.0,278.0,21.375
2013-05-14,130.0,255.0,27.0,50.0,900.0,278.0,22.770833333333332
2013-05-15,87.8125,211.5625,38.7947,45.546844,945.8333,210.88391,21.64583333333334
2013-05-16,49.416668,117.625,30.957733,43.307137,1064.5416,115.46858,20.341666666666665
2013-05-17,109.458336,146.54167,37.75,51.666668,1268.5416,106.625755,19.641666666666666
2013-05-18,135.41667,166.5,28.604733,55.699028,1293.6666,79.4775,19.829166666666662
2013-05-19,43.333332,144.875,7.75,24.666666,464.58334,74.47804,19.591666666666665
2013-05-20,30.208334,126.125,10.952333,37.041668,445.83334,86.72469,20.0625
2013-05-21,72.25,213.75,37.717365,53.162205,1093.6875,123.7838,22.1125
2013-05-22,74.875,184.45833,37.641567,46.1267,1504.1041,127.35454,22.90833333333333
2013-05-23,64.229164,119.875,32.5,44.25,1337.2084,110.00514,22.212500000000002
2013-05-24,58.375,109.458336,17.833334,28.729166,1299.8125,99.895836,23.058333333333337
2013-05-25,43.958332,110.375,17.75,33.0,845.7917,135.125,23.724999999999998
2013-05-26,83.541664,118.958336,22.25,32.5,1208.3334,64.291664,21.070833333333336
2013-05-27,30.458334,35.583332,3.2083333,16.208334,487.5,93.40022,19.029166666666665
