dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,6.4583335,10.833333,9.25,27.708334,341.66666,72.083336,1.3250000000000002
2013-03-02,28.75,37.708332,32.979168,63.541668,962.4167,40.166668,0.49166666666666675
2013-03-03,104.75,135.5,63.708332,105.666664,2308.0,18.583334,4.9875
2013-03-04,22.875,35.083332,14.666667,49.541668,674.9583,62.458332,10.5625
2013-03-05,131.83333,173.08333,89.208336,137.20833,2578.875,77.583336,7.212500000000001
2013-03-06,195.33333,213.75,115.833336,148.91667,2814.125,30.458334,8.000000000000002
2013-03-07,270.375,294.58334,102.958336,167.08333,4158.0,47.583332,9.258333333333331
2013-03-08,217.79167,239.41667,69.3975,129.95508,3101.9583,99.333336,9.662500000000001
2013-03-09,56.375,218.125,39.625,51.25,1404.0834,93.416664,7.233333333333335
2013-03-10,35.875,50.375,20.583334,55.083332,758.3333,94.375,5.787499999999999
2013-03-11,113.041664,134.04167,86.333336,87.0,1337.3334,87.041664,7.183333333333333
2013-03-12,127.833336,120.125,38.541668,90.791664,1999.7084,50.166668,5.104166666666665
2013-03-13,19.375,16.333334,13.708333,38.666668,508.33334,78.208336,4.3625
2013-03-14,87.458336,96.083336,61.791668,75.375,1397.8334,86.5,3.9625000000000004
2013-03-15,211.04167,225.125,79.958336,113.333336,2416.2083,60.333332,5.866666666666667
2013-03-16,244.5,217.20833,74.458336,97.75,2320.625,81.583336,9.633333333333335
2013-03-17,282.375,280.5,82.333336,120.875,2682.9583,106.291664,9.966666666666667
2013-03-18,69.083336,86.166664,15.916667,41.666668,822.875,91.375,8.170833333333333
2013-03-19,32.875,32.916668,11.75,41.916668,679.1667,35.541668,2.191666666666667
2013-03-20,49.833332,39.125,12.875,41.0,879.1667,44.291668,1.7625
2013-03-21,122.833336,136.625,31.583334,82.208336,1266.5416,24.666666,4.516666666666667
2013-03-22,79.291664,117.958336,25.125,58.166668,864.5417,55.229168,6.324999999999999
2013-03-23,52.041668,86.708336,30.041666,55.5,1137.375,37.208332,4.470833333333334
2013-03-24,18.333334,31.5,9.333333,34.875,410.41666,66.11449,4.7875000000000005
2013-03-25,100.541664,125.666664,48.75,81.125,860.4167,38.08571,5.470833333333334
2013-03-26,174.875,203.04167,67.375,90.041664,1551.9166,22.094791,8.470833333333333
2013-03-27,88.916664,118.208336,16.208334,44.708332,793.6667,52.935726,11.370833333333335
2013-03-28,28.375,48.041668,8.791667,37.25,533.3333,75.708336,8.304166666666667
2013-03-29,91.375,129.83333,46.791668,76.791664,1670.5834,31.0,6.012499999999999
2013-03-30,75.375,99.166664,57.583332,58.75,1635.2291,53.5625,5.962500000000001
2013-03-31,170.08333,183.04167,26.125,74.333336,1328.9584,7.6666665,5.550000000000001
2013-04-01,92.125,110.583336,36.666668,49.458332,1403.9166,57.125,10.887500000000001
2013-04-02,100.083336,127.0,41.416668,71.333336,1464.3959,63.34171,11.174999999999999
2013-04-03,122.583336,182.41667,45.291668,84.625,1491.2709,61.208332,11.720833333333333
2013-04-04,69.708336,101.833336,62.166668,76.125,2299.6667,33.208332,8.316666666666668
2013-04-05,56.583332,46.041668,13.708333,41.708332,1183.2084,44.0,8.995833333333334
2013-04-06,11.625,19.75,6.25,30.583334,429.16666,72.916664,9.404166666666667
2013-04-07,77.291664,103.5,39.708332,62.958332,1229.0,49.0625,9.258333333333333
2013-04-08,25.208334,111.416664,5.0833335,24.625,345.83334,78.541664,9.3375
2013-04-09,12.208333,25.833334,3.5416667,20.75,312.5,89.875,8.366666666666667
2013-04-10,13.375,26.791666,4.5,35.375,416.66666,69.8125,8.108333333333333
2013-04-11,18.458334,39.333332,6.9344,62.233486,577.0833,51.939037,10.579166666666664
2013-04-12,55.666668,115.208336,23.833334,82.791664,837.5,40.365532,15.920833333333336
2013-04-13,60.125,128.0,24.25,57.833332,741.625,49.708332,17.833333333333332
