dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,8.083333,9.333333,3.0,12.708333,345.83334,60.5625,0.5416666666666666
2013-03-02,32.625,36.916668,20.208334,47.583332,920.8333,40.416668,0.08333333333333341
2013-03-03,76.5,95.208336,30.875,65.291664,1749.9166,24.541666,5.029166666666668
2013-03-04,19.833334,32.0,13.083333,43.291668,791.5833,55.125,8.9375
2013-03-05,114.958336,145.83333,57.0625,85.854164,1783.125,74.541664,6.45
2013-03-06,168.70833,186.08333,86.866264,95.68661,2310.1667,49.708332,6.574999999999999
2013-03-07,283.0,301.625,88.791664,120.125,3524.875,52.208332,8.379166666666665
2013-03-08,226.0,246.375,69.43193,90.27712,2839.3542,95.666664,8.983333333333333
2013-03-09,87.125,469.79166,49.479168,63.395832,1552.0,78.375,6.791666666666667
2013-03-10,60.729168,316.02084,40.395832,59.208332,1108.3334,49.083332,5.054166666666666
2013-03-11,124.916664,157.125,86.833336,74.458336,1603.875,64.916664,6.483333333333333
2013-03-12,115.875,113.708336,27.916666,65.0,1533.2916,43.666668,4.733333333333333
2013-03-13,14.166667,18.458334,11.875,24.458334,408.33334,76.625,3.525
2013-03-14,90.125,100.291664,38.25,68.791664,1270.7916,74.125,3.5083333333333333
2013-03-15,210.16667,221.375,48.125,100.791664,2016.4584,39.458332,5.670833333333332
2013-03-16,233.41667,209.83333,47.791668,80.625,2053.875,67.625,8.979166666666664
2013-03-17,287.875,277.29166,56.833332,89.666664,2276.8333,103.5,9.199999999999998
2013-03-18,91.916664,93.833336,9.791667,37.625,962.5,89.25,7.6499999999999995
2013-03-19,24.333334,19.458334,3.0,23.958334,583.3333,40.833332,1.679166666666667
2013-03-20,37.083332,32.916668,4.25,44.583332,787.5,35.875,1.2541666666666664
2013-03-21,122.291664,129.91667,19.291666,57.75,1372.625,26.0625,3.920833333333334
2013-03-22,67.833336,112.416664,15.875,40.0,729.1667,56.916668,5.854166666666667
2013-03-23,43.583332,58.041668,21.0,45.375,1083.2084,31.984959,4.241666666666667
2013-03-24,16.208334,25.791666,6.5,27.458334,370.83334,59.953377,3.9125
2013-03-25,96.875,121.541664,32.113033,73.04749,1137.4166,30.391163,4.908333333333334
2013-03-26,187.0,214.58333,47.791668,88.541664,1831.0,13.824358,7.520833333333332
2013-03-27,93.125,105.666664,12.208333,41.875,956.125,39.3205,10.779166666666667
2013-03-28,21.833334,40.666668,3.875,27.583334,495.79166,66.75,7.625000000000001
2013-03-29,80.708336,113.041664,22.791666,48.25,1639.3959,30.333334,5.554166666666666
2013-03-30,75.375,99.166664,48.75,45.125,1783.1041,49.318142,5.983333333333332
