dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,8.625,14.458333,8.875,21.583334,450.0,68.083336,1.3250000000000002
2013-03-02,31.708334,37.041668,26.416666,49.458332,914.5833,34.041668,0.49166666666666675
2013-03-03,98.041664,121.333336,55.625,82.958336,2028.9584,16.916666,4.9875
2013-03-04,22.333334,37.583332,16.583334,42.041668,895.7917,53.125,10.5625
2013-03-05,141.66667,156.375,74.333336,101.666664,2408.0,94.0,7.212500000000001
2013-03-06,193.70833,206.33333,95.583336,126.979164,3051.6875,75.333336,8.000000000000002
2013-03-07,257.5,278.29166,72.666664,134.08333,4416.2915,55.291668,9.258333333333331
2013-03-08,200.60417,219.14583,49.197468,111.52768,3632.9167,102.458336,9.662500000000001
2013-03-09,60.333332,227.79167,26.625,41.625,1387.2916,88.916664,7.233333333333335
2013-03-10,38.291668,66.5,20.666666,44.791668,822.8333,89.75,5.787499999999999
2013-03-11,122.041664,143.83333,82.583336,73.333336,1449.875,88.083336,7.183333333333333
2013-03-12,126.958336,120.25,26.416666,69.291664,2028.7916,47.416668,5.104166666666665
2013-03-13,16.916666,22.666666,12.666667,32.041668,604.1667,74.0,4.3625
2013-03-14,83.875,98.416664,54.458332,61.916668,1374.7084,78.458336,3.9625000000000004
2013-03-15,189.70833,213.875,56.708332,88.708336,2249.625,62.75,5.866666666666667
2013-03-16,247.79167,234.79167,69.25,83.25,2453.75,88.541664,9.633333333333335
2013-03-17,289.5,275.04166,59.625,100.208336,2687.125,103.916664,9.966666666666667
2013-03-18,72.916664,98.208336,12.708333,40.25,987.4167,93.291664,8.170833333333333
2013-03-19,43.541668,39.791668,10.958333,44.625,891.6667,27.791666,2.191666666666667
2013-03-20,57.5,44.375,10.291667,36.791668,1024.9584,40.75,1.7625
2013-03-21,134.70833,131.91667,28.916666,69.166664,1399.7084,25.208334,4.516666666666667
2013-03-22,76.666664,109.5,25.041666,47.541668,975.0,56.854168,6.324999999999999
2013-03-23,51.333332,74.375,28.791666,51.333332,1237.4166,35.625,4.470833333333334
2013-03-24,15.916667,26.708334,10.333333,31.0,460.41666,68.29659,4.7875000000000005
2013-03-25,93.291664,109.0,42.25,64.791664,858.2917,43.608376,5.470833333333334
2013-03-26,173.0,192.0,56.833332,70.458336,1510.1666,25.508326,8.470833333333333
2013-03-27,85.166664,94.208336,14.125,46.791668,900.0,45.51931,11.370833333333335
2013-03-28,26.0,49.458332,7.5,34.541668,508.33334,86.208336,8.304166666666667
2013-03-29,86.791664,116.166664,33.958332,67.708336,1520.5834,98.0,6.012499999999999
2013-03-30,74.0,88.541664,53.708332,50.083332,1597.7291,89.25,5.962500000000001
2013-03-31,171.20833,178.66667,26.083334,64.25,1562.375,12.208333,5.550000000000001
2013-04-01,96.5,108.458336,36.791668,50.041668,1618.6459,51.934418,10.887500000000001
2013-04-02,102.0,127.166664,35.916668,51.416668,1424.7709,66.93697,11.174999999999999
2013-04-03,117.291664,156.29167,37.541668,70.0,1543.6459,58.1875,11.720833333333333
2013-04-04,65.708336,95.166664,50.5,69.083336,2233.0417,34.291668,8.316666666666668
2013-04-05,61.833332,52.041668,12.333333,44.375,1312.25,41.916668,8.995833333333334
2013-04-06,9.833333,19.333334,5.75,29.208334,420.83334,67.333336,9.404166666666667
2013-04-07,77.958336,100.375,34.5,59.083332,1233.1666,49.958332,9.258333333333333
2013-04-08,22.625,108.708336,4.0416665,25.75,395.83334,250.79167,9.3375
2013-04-09,10.625,33.5,3.2083333,21.416666,354.16666,461.39584,8.366666666666667
2013-04-10,12.416667,36.791668,3.3333333,35.875,462.5,61.303967,8.108333333333333
2013-04-11,18.375,52.166668,5.428467,49.39711,731.1875,39.631462,10.579166666666664
2013-04-12,51.125,96.208336,18.719833,61.930195,795.75,37.892357,15.920833333333336
2013-04-13,57.333332,119.541664,19.5,46.333332,799.9583,43.875,17.833333333333332
2013-04-14,34.166668,84.458336,13.833333,29.208334,645.8333,73.708336,12.383333333333335
2013-04-15,66.333336,127.166664,46.458332,49.125,1453.875,60.5625,12.2875
2013-04-16,57.0,122.5,27.5,43.708332,1087.4166,70.5,13.924999999999999
2013-04-17,46.083332,59.875,17.75,30.041666,700.0,75.833336,11.516666666666667
2013-04-18,11.458333,36.166668,4.0297,18.919155,297.91666,77.093666,10.720833333333331
2013-04-19,45.791668,62.875,16.291666,28.833334,766.6042,53.104168,6.745833333333336
2013-04-20,72.416664,68.041664,8.625,29.708334,754.1667,58.291668,9.366666666666667
2013-04-21,115.25,118.541664,26.5233,39.60901,1143.7084,53.175117,12.362499999999999
2013-04-22,153.75,144.41667,38.916668,40.75,1212.3334,41.25,12.858333333333333
2013-04-23,182.83333,170.375,25.354166,54.5625,1385.375,23.354166,11.958333333333334
2013-04-24,87.708336,109.083336,8.25,41.75,1349.7916,38.916668,15.829166666666666
2013-04-25,12.208333,42.0,4.0833335,43.541668,437.5,45.916668,16.20416666666667
2013-04-26,62.75,114.375,28.25,57.791668,1058.25,60.666668,16.816666666666663
2013-04-27,63.25,105.166664,41.5,48.75,1199.9584,91.458336,17.925000000000004
2013-04-28,75.25,105.083336,54.583332,55.291668,1895.625,74.291664,16.133333333333333
2013-04-29,18.25,79.25,4.1963334,40.266018,414.58334,52.488335,21.408333333333335
2013-04-30,20.5,69.625,5.25,41.833332,425.0,65.958336,20.625
2013-05-01,33.416668,77.75,11.416667,27.666666,629.1667,84.854164,17.666666666666664
2013-05-02,73.25,109.458336,39.25,41.416668,1141.5834,81.291664,18.933333333333334
2013-05-03,58.125,74.541664,21.875,21.416666,995.7917,114.0,18.03333333333333
2013-05-04,81.0,105.416664,21.583334,18.041666,825.0,108.375,19.779166666666672
2013-05-05,173.95833,211.5,40.625,64.833336,1572.7084,92.833336,20.812499999999996
2013-05-06,209.41667,233.0,26.416666,55.583332,1656.0416,114.773026,23.66666666666667
2013-05-07,156.45833,184.33333,42.25,61.833332,1499.75,126.375,24.087500000000002
2013-05-08,133.1875,154.1875,59.5,52.291668,1630.9584,66.261086,20.554166666666664
