dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,8.0,14.291667,11.458333,31.729166,393.75,46.6875,1.3916666666666668
2013-03-02,29.083334,41.625,34.25,73.708336,908.3333,17.666666,0.6166666666666666
2013-03-03,80.125,130.75,50.208332,86.958336,2074.5833,12.083333,5.566666666666666
2013-03-04,22.875,52.375,27.083334,66.833336,829.0833,31.75,9.9625
2013-03-05,134.04167,196.95833,79.979164,119.6875,2499.6458,48.541668,6.291666666666667
2013-03-06,229.54167,276.875,104.291664,130.41667,3328.7083,16.291666,7.183333333333334
2013-03-07,238.0,318.33334,79.958336,133.58333,4733.0,25.208334,9.2875
2013-03-08,210.625,273.70834,60.676533,121.02795,4891.479,64.458336,9.612500000000002
2013-03-09,66.0,279.54166,26.538534,46.167915,1289.5,61.708332,6.983333333333334
2013-03-10,38.083332,71.458336,18.958334,61.166668,816.625,67.458336,5.262500000000001
2013-03-11,139.95833,197.91667,79.875,89.916664,2301.8542,56.416668,5.537499999999999
2013-03-12,134.375,148.45833,24.166666,84.708336,2216.4375,21.0,4.6
2013-03-13,21.708334,30.875,18.541666,70.25,645.7917,47.458332,4.929166666666666
2013-03-14,104.375,120.458336,57.083332,92.416664,1454.0416,61.041668,3.816666666666667
2013-03-15,225.08333,251.33333,80.791664,133.95833,2345.4583,37.791668,6.400000000000001
2013-03-16,248.08333,262.58334,79.75,121.958336,2591.4792,59.791668,9.529166666666667
2013-03-17,284.91666,316.66666,79.958336,140.20833,2755.7917,88.708336,10.008333333333335
2013-03-18,70.791664,106.75,20.833334,59.583332,877.0208,82.0,8.383333333333333
2013-03-19,35.458332,41.791668,14.75,61.208332,733.3333,17.104166,2.066666666666666
2013-03-20,53.708332,52.25,18.583334,61.375,956.2083,26.083334,1.5208333333333333
2013-03-21,133.375,159.83333,32.541668,96.104164,1399.875,11.125,3.5875000000000004
2013-03-22,84.791664,124.583336,32.041668,90.458336,979.125,33.25,6.304166666666666
2013-03-23,55.166668,83.375,35.0,75.916664,1145.6666,27.625,4.770833333333333
2013-03-24,19.583334,32.958332,16.333334,60.416668,464.58334,52.837574,5.112500000000001
2013-03-25,104.625,140.08333,50.708332,109.916664,1081.2084,23.399328,5.150000000000001
2013-03-26,181.375,239.20833,66.75,128.5,1853.9791,11.282692,6.799999999999998
2013-03-27,89.375,117.375,24.958334,64.0,1012.4167,40.1057,10.879166666666665
2013-03-28,25.666666,50.0625,10.003767,64.09743,331.25,58.81691,7.879166666666666
2013-03-29,75.333336,124.645836,35.996334,98.59976,966.5833,19.6065,6.208333333333332
2013-03-30,89.041664,114.875,55.5,84.166664,1599.6666,36.875,6.45
2013-03-31,185.29167,216.91667,20.0,80.25,1483.1666,2.3333333,5.570833333333334
2013-04-01,100.791664,130.41667,19.458334,70.75,1124.875,48.416668,10.458333333333334
2013-04-02,110.541664,152.875,42.375,109.958336,1428.9584,45.75,10.0375
2013-04-03,145.16667,225.70833,43.875,119.208336,1620.6666,47.916668,11.916666666666666
2013-04-04,70.625,99.583336,39.208332,95.0,1903.7084,28.291666,7.758333333333334
2013-04-05,69.333336,57.708332,13.0,56.375,1183.2916,39.916668,8.520833333333334
2013-04-06,13.125,27.875,9.791667,68.375,720.7917,50.0,8.558333333333332
2013-04-07,85.083336,136.45833,39.875,82.666664,1274.8334,34.291668,8.845833333333333
2013-04-08,25.208334,122.541664,12.229167,29.666666,387.5,72.416664,9.020833333333332
2013-04-09,10.375,33.958332,12.0,37.375,250.0,76.86761,8.049999999999999
2013-04-10,12.25,30.291666,10.083333,61.833332,291.66666,57.852848,7.7749999999999995
2013-04-11,18.75,57.791668,14.333167,90.91456,547.9167,38.03865,9.7875
2013-04-12,49.708332,124.916664,29.833334,123.24149,716.6667,21.8737,14.737499999999999
2013-04-13,50.708332,128.16667,23.184067,87.0625,600.0,38.916668,17.379166666666663
2013-04-14,34.333332,110.625,16.458334,86.458336,491.66666,59.166668,11.937499999999998
2013-04-15,75.708336,158.0,48.333332,93.833336,1429.0,54.75,12.720833333333337
2013-04-16,51.291668,122.416664,28.6364,56.12778,860.4167,70.82316,14.529166666666669
2013-04-17,47.625,74.75,22.083334,53.791668,708.3333,73.16792,12.358333333333333
2013-04-18,7.0833335,22.833334,5.5416665,29.0,283.33334,76.061325,11.020833333333334
2013-04-19,45.458332,82.583336,18.708334,52.125,716.6667,47.75,6.195833333333334
2013-04-20,71.666664,76.083336,14.0,55.916668,708.3333,53.791565,8.920833333333333
2013-04-21,125.041664,157.16667,35.3207,82.87751,1052.0416,45.757847,11.870833333333332
2013-04-22,177.375,191.33333,63.208332,83.604164,1295.6666,24.333334,12.283333333333331
2013-04-23,203.79167,199.29167,35.5,89.708336,1341.5,15.791667,11.787500000000001
2013-04-24,112.5,140.875,17.666666,73.25,1149.9166,35.916668,15.358333333333336
2013-04-25,15.083333,49.833332,9.270833,55.25,418.75,49.1875,14.912499999999996
2013-04-26,79.333336,154.08333,32.958332,91.291664,1062.4166,48.208332,16.187500000000004
2013-04-27,62.541668,102.5,40.0,75.041664,902.0833,81.270836,17.804166666666667
2013-04-28,72.708336,118.916664,55.375,62.75,1637.375,83.625,16.25416666666667
2013-04-29,20.791666,91.125,10.916667,49.520832,387.45834,56.489037,20.11666666666666
2013-04-30,32.416668,75.625,13.375,51.875,525.0,51.375,20.716666666666665
