dtime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2013-03-01,8.041667,10.75,7.3333335,18.0,322.91666,56.8125,2.0625000000000004
2013-03-02,30.916666,40.958332,30.958334,50.333332,879.1667,27.833334,0.6791666666666668
2013-03-03,96.0,130.45833,58.708332,88.416664,2004.0,11.5,5.262499999999998
2013-03-04,23.125,38.666668,18.916666,43.666668,754.0417,42.458332,9.4375
2013-03-05,148.66667,171.66667,77.916664,100.5625,2249.6875,81.791664,7.2458333333333345
2013-03-06,207.875,232.66667,108.75,125.416664,3153.7917,60.041668,7.879166666666666
2013-03-07,265.33334,304.70834,93.5,138.25,4420.4165,38.375,9.520833333333334
2013-03-08,223.41667,257.91666,63.402832,119.87095,3616.5833,91.333336,10.249999999999998
2013-03-09,57.25,234.79167,31.083334,41.708332,1233.1875,83.916664,7.375
2013-03-10,35.083332,48.166668,23.333334,44.333332,875.0,82.416664,5.291666666666667
2013-03-11,120.208336,144.375,97.75,74.375,1624.7916,74.541664,5.749999999999999
2013-03-12,123.708336,100.583336,31.041666,72.916664,1820.5834,33.416668,5.1625000000000005
2013-03-13,21.708334,19.0,14.666667,34.125,627.0833,62.666668,5.004166666666666
2013-03-14,85.583336,85.541664,56.375,64.416664,1583.2084,66.916664,4.2958333333333325
2013-03-15,175.375,208.58333,74.708336,94.333336,2391.375,43.708332,6.062500000000001
2013-03-16,227.375,236.29167,71.458336,82.375,2451.7292,72.875,10.058333333333335
2013-03-17,273.5,294.5,67.458336,96.958336,2720.5,100.75,9.9625
2013-03-18,73.75,99.208336,15.833333,35.416668,914.5417,87.65408,8.516666666666666
2013-03-19,38.833332,50.916668,10.833333,39.791668,889.5833,19.711042,2.4791666666666665
2013-03-20,51.583332,55.041668,13.666667,35.75,1089.5416,26.895557,1.6833333333333333
2013-03-21,135.54167,145.375,30.458334,68.0,1366.375,14.145833,4.145833333333333
2013-03-22,81.791664,123.875,23.583334,48.291668,962.5,44.958332,6.908333333333335
2013-03-23,53.583332,82.541664,27.875,46.791668,1204.0,29.75,5.383333333333334
2013-03-24,18.166666,32.541668,10.208333,29.625,400.0,57.723835,5.337499999999999
2013-03-25,99.166664,122.708336,40.017834,66.62309,931.2083,31.777145,5.483333333333332
2013-03-26,182.95833,210.875,66.666664,69.458336,1622.7084,14.226033,7.3999999999999995
2013-03-27,84.875,102.75,16.333334,33.833332,843.7083,45.10856,11.124999999999998
2013-03-28,28.666666,43.458332,8.0,28.0,570.8333,66.291664,8.4625
2013-03-29,85.375,118.708336,33.041668,65.666664,1522.6459,25.666666,6.729166666666668
2013-03-30,75.458336,96.416664,50.916668,47.958332,1633.0834,41.208332,6.55
2013-03-31,174.75,191.95833,23.333334,60.916668,1604.0416,4.2083335,6.066666666666666
2013-04-01,93.0,103.25,33.25,40.75,1566.5834,48.5,11.220833333333333
2013-04-02,107.208336,135.25,38.041668,54.166668,1522.8334,55.526524,10.808333333333332
2013-04-03,126.0,183.75,43.291668,72.583336,1610.25,47.578674,11.925000000000002
2013-04-04,68.708336,99.541664,50.666668,63.666668,2285.1458,26.862717,8.041666666666666
2013-04-05,61.625,59.458332,13.166667,36.166668,1378.8334,35.083332,9.029166666666667
2013-04-06,11.291667,18.583334,5.9583335,23.75,506.25,56.708332,9.145833333333334
2013-04-07,90.875,113.0,35.75,54.833332,1264.5,36.048393,9.508333333333333
2013-04-08,75.083336,92.458336,5.0416665,15.333333,370.83334,68.541664,9.466666666666665
2013-04-09,24.125,31.416666,4.2916665,11.5,354.16666,78.916664,8.379166666666666
2013-04-10,22.416666,28.583334,3.8569667,19.96855,422.91666,60.503723,8.416666666666666
2013-04-11,38.541668,41.666668,5.8095,41.709995,689.5417,44.12239,10.354166666666666
2013-04-12,107.625,111.083336,19.154333,63.55989,893.7083,29.629925,14.52083333333333
2013-04-13,122.666664,113.791664,19.458334,41.208332,837.3333,41.041668,17.458333333333332
2013-04-14,89.208336,94.291664,14.291667,27.75,654.125,65.375,12.633333333333335
2013-04-15,133.04167,134.29167,47.1836,51.36977,1462.2709,51.688435,12.4625
2013-04-16,134.5,124.833336,27.5,37.5,1066.4584,67.041664,14.416666666666666
2013-04-17,63.229168,60.541668,16.541666,35.291668,770.8333,65.5,12.116666666666667
2013-04-18,9.833333,30.625,3.1666334,17.801603,295.83334,68.87648,11.004166666666668
2013-04-19,49.166668,76.208336,14.958333,38.958332,787.5,40.458332,5.945833333333333
2013-04-20,73.875,75.666664,9.791667,42.833332,779.1667,47.0,8.8875
2013-04-21,121.833336,132.70833,29.094734,55.351013,1162.2916,39.912174,11.687500000000002
2013-04-22,158.66667,169.58333,46.0625,57.125,1331.125,25.041666,11.908333333333331
2013-04-23,190.16667,177.45833,29.25,58.208332,1495.75,15.125,11.483333333333334
2013-04-24,103.833336,104.041664,10.749967,50.577,1264.4166,36.528984,15.874999999999998
2013-04-25,11.208333,28.458334,4.25,32.333332,400.0,52.833332,16.037499999999998
2013-04-26,67.666664,117.25,27.104166,62.875,1116.5834,53.75,16.800000000000004
2013-04-27,70.5,110.416664,39.708332,47.208332,1145.7916,82.583336,18.583333333333332
2013-04-28,77.666664,98.833336,51.416668,50.416668,1803.8334,70.875,17.025000000000002
2013-04-29,28.416666,73.916664,4.7916665,37.166668,418.75,56.08706,21.53333333333333
2013-04-30,35.125,76.958336,7.25,41.25,487.5,56.1875,21.3
2013-05-01,41.916668,88.416664,13.458333,39.208332,633.3333,71.791664,17.354166666666668
2013-05-02,77.416664,114.916664,38.529266,49.87694,1045.7916,69.956535,19.3875
2013-05-03,62.208332,81.125,22.208334,32.0,874.9583,100.541664,18.049999999999997
2013-05-04,89.208336,117.625,23.5592,37.55327,800.0,82.34612,18.925
2013-05-05,179.54167,229.08333,45.166668,69.166664,1549.5,81.208336,20.820833333333336
2013-05-06,213.04167,242.83333,31.083334,55.666668,1612.25,104.49063,22.979166666666668
2013-05-07,153.04167,191.5,44.833332,59.708332,1466.5416,112.708336,23.483333333333334
2013-05-08,140.25,158.875,49.791668,52.458332,1712.1666,71.63318,20.345833333333335
2013-05-09,41.416668,50.625,11.333333,40.583332,660.4167,38.083332,17.6125
2013-05-10,42.833332,82.5,7.2916665,41.625,625.0,49.041668,21.46666666666667
2013-05-11,49.041668,105.416664,9.708333,53.708332,547.9167,37.37761,24.437499999999996
2013-05-12,36.083332,83.875,12.333333,47.083332,693.7083,51.291668,22.966666666666665
2013-05-13,85.041664,161.125,59.041668,62.083332,1833.0416,64.083336,21.520833333333332
2013-05-14,49.833332,109.708336,13.375,44.5,870.8333,64.541664,24.462500000000002
2013-05-15,73.166664,137.66667,42.458332,46.791668,1481.1666,90.666664,22.95
2013-05-16,54.041668,109.125,27.916666,49.791668,1193.6666,89.316345,21.337499999999995
2013-05-17,111.25,146.70833,37.291668,54.0,1379.0834,84.666664,20.94583333333333
